,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
0,"RT @InvestmentBook1: Let's Re-visit History 

Infosys at its peak price of 12800 commanded a market cap of a huge Rs 85000 Crore. Market ju…",en,0,0,2021-11-14 20:55:40+00:00,0.9,0.4000000000000001,Positive
2,"RT @Nayakone: Mutual Fund Top Holding Stocks 

- Infosys
- TCS
- HDFC Bank
- SBI
- Airtel 
- L&amp;T
- HDFC
- Reliance Ind
- Kotak Bank
- ICICI…",en,0,0,2021-11-14 20:42:13+00:00,0.5,0.5,Positive
3,"RT @Nayakone: Mutual Fund Top Holding Stocks 

- Infosys
- TCS
- HDFC Bank
- SBI
- Airtel 
- L&amp;T
- HDFC
- Reliance Ind
- Kotak Bank
- ICICI…",en,0,0,2021-11-14 20:13:01+00:00,0.5,0.5,Positive
4,"RT @ProfitKing7: Best Diversified Portfolio For Long Term:

⚡️IT - Infosys
⚡️Pharma - Divis Labs
⚡️Paints - Asian Paints
⚡️Adhesives - Pidi…",en,0,0,2021-11-14 20:05:49+00:00,0.2333333333333333,0.31666666666666665,Positive
5,"RT @Nayakone: Mutual Fund Top Holding Stocks 

- Infosys
- TCS
- HDFC Bank
- SBI
- Airtel 
- L&amp;T
- HDFC
- Reliance Ind
- Kotak Bank
- ICICI…",en,0,0,2021-11-14 19:35:51+00:00,0.5,0.5,Positive
6,"RT @Nayakone: Mutual Fund Top Holding Stocks 

- Infosys
- TCS
- HDFC Bank
- SBI
- Airtel 
- L&amp;T
- HDFC
- Reliance Ind
- Kotak Bank
- ICICI…",en,0,0,2021-11-14 19:15:40+00:00,0.5,0.5,Positive
7,"And finally, download filed form for Form 3CB-3CD is working now. Thank you @Infosys 
@IncomeTaxIndia @FinMinIndia… https://t.co/9n0pYBdPgn",en,1,0,2021-11-14 19:11:15+00:00,1.0,0.0,Neutral
8,"Global Internet Of Things (IOT) Professional Services Market Size, Share and SWOT Analysis by 2027: Wipro Limited,… https://t.co/uKyUfbUaO6",en,0,0,2021-11-14 19:09:02+00:00,0.05,0.05,Positive
9,RT @NeeleshTax: Please Waive Late Filing Fees of #GSTR10 . Small businessman are suffering from complex GST filing as even after number can…,en,0,0,2021-11-14 19:06:55+00:00,0.4666666666666666,-0.2833333333333334,Negative
10,"RT @ProfitKing7: Best Diversified Portfolio For Long Term:

⚡️IT - Infosys
⚡️Pharma - Divis Labs
⚡️Paints - Asian Paints
⚡️Adhesives - Pidi…",en,0,0,2021-11-14 18:57:32+00:00,0.2333333333333333,0.31666666666666665,Positive
11,@Mohdmansoorashr @GST_Council @Infosys_GSTN @cbic_india @nsitharaman @gstindia I tried many times brother and next… https://t.co/S60xfE29tX,en,0,0,2021-11-14 18:55:06+00:00,0.5,0.5,Positive
12,"@nsitharaman,  Ma'am do you find the Refund/Payable amounts flipped here! This is screen from offline utility. It a… https://t.co/3ZwiP8mq6p",en,0,0,2021-11-14 18:51:22+00:00,0.0,0.0,Neutral
13,"@PMOIndia @narendramodi_in 
@nsitharaman @nsitharamanoffc 
@Infosys_GSTN @cbic_india 

PM says this is Ease of doin… https://t.co/FgALKCuDLZ",en,0,0,2021-11-14 18:40:19+00:00,0.0,0.0,Neutral
14,Madhya Pradesh: Infosys starts bulk recruitment https://t.co/2TRoHQvfkC,en,0,0,2021-11-14 18:36:23+00:00,0.0,0.0,Neutral
15,RT @jofosterthinks: Just checking up on how transparent my MP has decided to be. What’s a blind trust? Why no mention of the fact that Rish…,en,0,0,2021-11-14 18:35:08+00:00,0.6666666666666666,-0.5,Negative
16,@APalagummi So one of my seniors quit Infosys after working for 5 years. Did PG in Psychology. Practised as Psychol… https://t.co/YUXtrq1VqE,en,1,0,2021-11-14 18:32:35+00:00,0.0,0.0,Neutral
17,"RT @Nayakone: Mutual Fund Top Holding Stocks 

- Infosys
- TCS
- HDFC Bank
- SBI
- Airtel 
- L&amp;T
- HDFC
- Reliance Ind
- Kotak Bank
- ICICI…",en,0,0,2021-11-14 18:30:32+00:00,0.5,0.5,Positive
18,"Today national (india) children's day 
.
Old video message by Sudha narayana murthy, chairperson of infosys foundat… https://t.co/OaVVdqyezf",en,1,0,2021-11-14 18:20:45+00:00,0.2,0.1,Positive
19,Infosys Careers for Freshers 2022 Hiring as Process Executive https://t.co/kNTvNqaAU9,en,0,0,2021-11-14 18:20:09+00:00,0.0,0.0,Neutral
20,"RT @NeeleshTax: Dear @nsitharaman madam You should simplify section 16(4), it will be in public interest
@nsitharamanoffc @FinMinIndia @nar…",en,0,0,2021-11-14 18:10:54+00:00,0.06666666666666667,0.0,Neutral
